image_id,file_name,ours_f1,ours_mean_iou,ours_precision,ours_recall,ours_fp,ours_fn,yolo_f1,yolo_mean_iou,yolo_precision,yolo_recall,yolo_fp,yolo_fn
300707,300707.TIF,0.935,0.857,0.951,0.921,3,5,0.929,0.830,0.922,0.937,5,4
300708,300708.TIF,0.946,0.865,0.967,0.926,3,7,0.936,0.858,0.946,0.926,5,7
300709,300709.TIF,0.925,0.859,0.954,0.899,3,7,0.925,0.864,0.954,0.899,3,7
300710,300710.TIF,0.981,0.876,0.964,1.000,2,0,0.951,0.878,0.980,0.925,1,4
300711,300711.TIF,0.914,0.886,0.842,1.000,3,0,0.968,0.875,1.000,0.938,0,1
300713,300713.TIF,0.000,0.000,0.000,0.000,0,3,0.800,0.821,1.000,0.667,0,1
300714,300714.TIF,0.857,0.868,1.000,0.750,0,1,1.000,0.848,1.000,1.000,0,0
300715,300715.TIF,0.839,0.883,1.000,0.722,0,5,0.462,0.918,0.750,0.333,2,12
300716,300716.TIF,0.444,0.889,0.800,0.308,1,9,0.421,0.890,0.667,0.308,2,9
300717,300717.TIF,0.870,0.899,0.909,0.833,1,2,0.833,0.902,0.833,0.833,2,2
300718,300718.TIF,1.000,0.930,1.000,1.000,0,0,1.000,0.862,1.000,1.000,0,0
300726,300726.TIF,0.943,0.871,0.990,0.900,1,11,0.943,0.857,0.990,0.900,1,11
300727,300727.TIF,0.892,0.875,0.990,0.811,1,23,0.883,0.862,0.980,0.803,2,24
300728,300728.TIF,0.913,0.882,1.000,0.840,0,19,0.895,0.875,0.980,0.824,2,21
300729,300729.TIF,0.939,0.863,0.966,0.913,3,8,0.941,0.836,0.935,0.946,6,5
300730,300730.TIF,0.870,0.868,0.926,0.820,4,11,0.926,0.837,0.933,0.918,4,5
300731,300731.TIF,0.930,0.886,0.969,0.894,3,11,0.926,0.868,0.949,0.904,5,10
300732,300732.TIF,0.976,0.873,1.000,0.952,0,5,0.946,0.874,0.970,0.924,3,8
300733,300733.TIF,0.982,0.886,0.976,0.988,2,1,0.958,0.864,0.930,0.988,6,1
300735,300735.TIF,1.000,0.797,1.000,1.000,0,0,0.000,0.000,0.000,0.000,0,1
300736,300736.TIF,1.000,0.886,1.000,1.000,0,0,1.000,0.876,1.000,1.000,0,0
300737,300737.TIF,0.722,0.913,0.929,0.591,1,9,0.606,0.884,0.909,0.455,1,12
300738,300738.TIF,0.932,0.868,1.000,0.872,0,5,0.892,0.842,0.943,0.846,2,6
300739,300739.TIF,0.937,0.873,0.960,0.914,4,9,0.917,0.847,0.940,0.895,6,11
300740,300740.TIF,0.937,0.869,0.894,0.983,7,1,0.921,0.857,0.879,0.967,8,2
300741,300741.TIF,1.000,0.906,1.000,1.000,0,0,0.857,0.925,0.750,1.000,1,0
