============================================================
wait_then_launch_b0_r0 started at 2026-07-31 00:47:09
monitor_log=logs/ablations/wait_then_launch_b0_r0_20260731_004709.log
poll_seconds=60
plan: when no train_rsprompter process is alive, launch
  B0  -> CUDA_VISIBLE_DEVICES=0,1 (stride32)
  R0  -> CUDA_VISIBLE_DEVICES=2,3 (stride16)
============================================================
2026-07-31 05:15:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:16:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:17:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:18:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:19:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:20:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:21:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:22:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:23:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:24:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:25:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:26:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:27:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:28:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:29:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:30:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:31:26 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:32:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:33:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:34:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:35:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:36:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:37:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:38:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:39:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:40:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:41:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:42:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:43:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:44:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:45:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:46:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:47:27 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:48:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:49:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:50:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:51:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:52:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:53:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:54:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:55:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:56:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:57:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:58:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:59:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 06:00:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 06:01:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 06:02:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 06:03:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 06:04:28 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 06:05:29 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 06:06:29 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 06:07:29 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 06:08:29 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 06:09:29 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 06:10:29 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 06:11:29 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 06:12:29 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 06:13:29 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 06:14:29 - 15 train_rsprompter process(es) still running; sleeping 60s.
